DATOS DE PLATOS
==================================================================================================================================
CODIGO              PRECIO           CATEGORIA         DESCRIPCION
----------------------------------------------------------------------------------------------------------------------------------
AP-73428             19.50           APERITIVO         TEQUEÑOS
PO-11283             14.90           POSTRES           2 BOLAS DE HELADO
BE-39584             15.50           BEBIDAS           COCA COLA 1 LITRO
EN-77894             32.90           ENSALADAS         ENSALADA SENSACION GRANDE CON POLLO
AD-53518             15.90           ADICIONAL         PAPAS FRITAS
BR-15665             50.90           BRASA             1/2 POLLO PARRILLERO ORIGINAL ENCAMOTADO
EN-77606             24.90           ENSALADAS         ENSALADA HONEY GRANDE SOLO
EN-77549             18.90           ENSALADAS         ENSALADA COCIDA REGULAR
AD-90766             25.90           ADICIONAL         ANTICUCHO DE CORAZON
BE-39747              7.00           BEBIDAS           COCA COLA 1/2 LITRO
EN-77419             31.90           ENSALADAS         ENSALADA DELICIA GRANDE CON POLLO
BE-39431             12.50           BEBIDAS           CERVEZA CUSQUENA
BE-39738             18.90           BEBIDAS           CERVEZA HEINEKEN
BR-15283             33.50           BRASA             1/4 POLLO PARRILLERO ORIGINAL- ARROCERO
BR-15365             44.90           BRASA             1/4 POLLO BBQ/HOT ANTICUCHO
SA-55338             22.90           SANGUCHE          SANGUCHE BRASA
BE-39442             21.90           BEBIDAS           LIMONADA 1 LITRO
EN-77691             23.90           ENSALADAS         ENSALADA SENSACION MEDIANA CON POLLO
BE-39896            128.90           BEBIDAS           VINO FINA RESERVA TINTO
PI-15153             18.90           PIQUEO            PIQUEOS MOLLEJITAS
EN-77487             24.90           ENSALADAS         ENSALADA CESARS GRANDE SOLO
PA-11871             54.90           PARRILLA          LOMO A LA PARRILLA
BE-39851             73.90           BEBIDAS           CASILLERO DEL DIABLO BLANCO
ES-31644             33.90           ESPECIALES        CHICHARRON DE POLLO AL PLATO
BR-15950             43.90           BRASA             1/4 POLLO PARRILLERO ORIGINAL ANTICUCHO
BR-15724             31.50           BRASA             1/4 POLLO ENCAMOTADO
EN-53265             12.90           ENTRADA           ANTICUCHO
BE-39265             49.90           BEBIDAS           TABERNERO GRAN TINTO
AD-53939              4.90           ADICIONAL         TEQUENO
BE-39536             15.50           BEBIDAS           SPRITE 1 LITRO
EN-77156             22.90           ENSALADAS         ENSALADA COCIDA GRANDE
BR-15319             47.90           BRASA             1/2 POLLO PARRILLERO ORIGINAL PAPAS ENSALADA
PI-15404             17.90           PIQUEO            PIQUEOS BROCHETA
BE-39955             73.90           BEBIDAS           CASILLERO DEL DIABLO TINTO
BR-15297             51.90           BRASA             1/2 POLLO BBQ/HOT ENCAMOTADO
PI-15488             16.90           PIQUEO            PIQUEOS CHORIZOS COCKTAIL
PI-15608             27.90           PIQUEO            PIQUEOS CHICHARRON DE POLLO
